Obs.Number,ID,Date,Rank,Age,Srv.Branch,Major.Cause.of.Death,Minor.Cause.of.Death,Where,Hometown,State,Country,Julian
1146,1146,9/10/2004,Specialist,24,U.S. Army,Hostile,hostile fire - IED attack,Balad,Cypress,California,US,16324
1147,1147,9/11/2004,Petty Officer 3rd Class,25,U.S. Navy,Non-hostile,unspecified cause,Iskandariyah,South St. Paul,Minnesota,US,16325
1148,1152,9/12/2004,Private 1st Class,20,U.S. Marine,Hostile,hostile fire,Al Anbar Province,San Angelo,Texas,US,16326
1149,1151,9/12/2004,1st Lieutenant,27,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Fairfax,Virginia,US,16326
1150,1150,9/12/2004,Corporal,28,Polish Army,Hostile,hostile fire,Al Hillah,Bukowno (near Olkusz),Poland,POL,16326
1151,1149,9/12/2004,1st Lieutenant,24,Polish Army,Hostile,hostile fire,Al Hillah,Gdansk,Poland,POL,16326
1152,1148,9/12/2004,1st Lieutenant,25,Polish Army,Hostile,hostile fire,Al Hillah,Niemstw (nr. Cieszanw),Poland,POL,16326
1153,1162,9/13/2004,Corporal,24,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Tamuning,Guam,US,16327
1154,1161,9/13/2004,Corporal,21,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Milwaukee,Wisconsin,US,16327
1155,1160,9/13/2004,Lance Corporal,19,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Mason,Texas,US,16327
1156,1157,9/13/2004,Lance Corporal,19,U.S. Marine,Non-hostile,unspecified cause,Al Anbar Province,Austin,Texas,US,16327
1157,1156,9/13/2004,Lance Corporal,22,U.S. Marine,Non-hostile,vehicle accident,Al Anbar Province,Glendale,Arizona,US,16327
1158,1155,9/13/2004,Lance Corporal,20,U.S. Marine,Non-hostile,vehicle accident,Al Anbar Province,Spanish Fork,Utah,US,16327
1159,1159,9/13/2004,Sergeant,29,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Phoenix,Arizona,US,16327
1160,1158,9/13/2004,Staff Sergeant,31,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Lodi,California,US,16327
1161,1153,9/13/2004,Sergeant,27,U.S. Army National Guard,Hostile,hostile fire,Taji,Sheridan,Oregon,US,16327
1162,1154,9/13/2004,Staff Sergeant,26,U.S. Army National Guard,Hostile,"hostile fire - small arms fire, IED",Taji,Portland,Oregon,US,16327
1163,1164,9/14/2004,Major,38,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Washington,District of Columbia,US,16328
1164,1163,9/14/2004,Sergeant,29,U.S. Army,Hostile,hostile fire,Mosul,Palouse,Washington,US,16328
1165,1165,9/14/2004,1st Lieutenant,26,U.S. Army,Hostile,hostile fire - sniper fire,Ramadi,Atlanta,Georgia,US,16328
1166,1167,9/15/2004,Lance Corporal,28,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Charlotte,North Carolina,US,16329
1167,1166,9/15/2004,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Du Quoin,Illinois,US,16329
1168,1169,9/16/2004,Corporal,21,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Lynnwood,Washington,US,16330
1169,1168,9/16/2004,1st Lieutenant,24,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Germantown,Tennessee,US,16330
1170,1170,9/17/2004,Corporal,21,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Mooresboro,North Carolina,US,16331
1171,1172,9/18/2004,Private 1st Class,22,U.S. Army,Hostile,hostile fire - car bomb,Baghdad,Cleveland,Tennessee,US,16332
1172,1171,9/18/2004,Sergeant,25,U.S. Army,Hostile,hostile fire - car bomb,Baghdad,Hope,Arkansas,US,16332
1173,1173,9/19/2004,Sergeant,22,U.S. Army,Hostile,hostile fire - grenade,Walter Reed Medical Ctr.,Hollidaysburg,Pennsylvania,US,16333
1174,1176,9/20/2004,Sergeant,31,U.S. Marine Reserve,Hostile,hostile fire,Al Anbar Province,Fort Worth,Texas,US,16334
1175,1175,9/20/2004,Lance Corporal,22,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Mount Juliet,Tennessee,US,16334
1176,1174,9/20/2004,Specialist,21,U.S. Army,Hostile,hostile fire - small arms fire,Ash Sharqat,Avonmore,Pennsylvania,US,16334
1177,1177,9/21/2004,Private 1st Class,20,U.S. Army,Hostile,hostile fire - IED attack,Ramadi,Highland,Indiana,US,16335
1178,1181,9/22/2004,Sergeant,24,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Carterville,Illinois,US,16336
1179,1180,9/22/2004,Sergeant,23,U.S. Army,Hostile,hostile fire - car bomb,Baghdad,Kolonia Pohnpei,Fed. Sts. of Micronesia,US,16336
1180,1179,9/22/2004,Private 1st Class,21,U.S. Army,Hostile,hostile fire - sniper fire,Mosul,Abilene,Texas,US,16336
1181,1178,9/22/2004,Staff Sergeant,33,U.S. Army National Guard,Hostile,hostile fire - IED attack,Tikrit,Fargo,North Dakota,US,16336
1182,1184,9/24/2004,Sergeant,21,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Sonora,Texas,US,16338
1183,1183,9/24/2004,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Suffolk,New York,US,16338
1184,1182,9/24/2004,Lance Corporal,24,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Alameda,California,US,16338
1185,1185,9/24/2004,2nd Lieutenant,28,U.S. Marine,Non-hostile,vehicle accident,Ar Rutbah,Pana,Illinois,US,16338
1186,1188,9/25/2004,Specialist,25,U.S. Army,Hostile,hostile fire,Al Taqaddum,Tucson,Arizona,US,16339
1187,1186,9/25/2004,Sergeant,37,U.S. Army National Guard,Hostile,hostile fire - IED attack,Baghdad,Portland,Oregon,US,16339
1188,1187,9/25/2004,Specialist,51,U.S. Army National Guard,Non-hostile,illness - died in sleep,Baghdad,New Castle,Pennsylvania,US,16339
1189,1189,9/26/2004,Captain,34,U.S. Army,Hostile,hostile fire - mortar attack,Ramadi,Houston,Texas,US,16340
1190,1192,9/27/2004,Private 1st Class,20,U.S. Marine,Non-hostile,unspecified cause,Al Anbar Province,Apple Valley,California,US,16341
1191,1191,9/27/2004,Sergeant 1st Class,36,U.S. Army,Hostile,hostile fire - sniper fire,Balad,Los Angeles,California,US,16341
1192,1190,9/27/2004,Specialist,21,U.S. Army,Non-hostile,vehicle accident,Balad,Carmichaels,Pennsylvania,US,16341
1193,1194,9/28/2004,Private (Artillery),25,British Army,Hostile,hostile fire,Basra,Walsall,England,UK,16342
1194,1193,9/28/2004,Corporal,27,British Army,Hostile,hostile fire,Basra,Ellesmere Port,England,UK,16342
1195,1195,9/28/2004,Sergeant,22,U.S. Army,Hostile,hostile fire - RPG attack,Ramadi,Phoenix,Arizona,US,16342
1196,1198,9/29/2004,Staff Sergeant,31,U.S. Army,Hostile,hostile fire - small arms fire,Balad,Fayetteville,North Carolina,US,16343
1197,1197,9/29/2004,Private 1st Class,20,U.S. Army,Hostile,hostile fire - IED attack,Ramadi,Somerset,Kentucky,US,16343
1198,1196,9/29/2004,Lieutenant Colonel,44,Ukrainian Army,Non-hostile,vehicle accident,Wasit Province,Novgorod-Sivierskyi ,Ukraine,UKR,16343
1199,1199,9/30/2004,Specialist,21,U.S. Army,Hostile,hostile fire - car bomb,Baghdad,Philadelphia,Pennsylvania,US,16344
1200,1200,9/30/2004,Staff Sergeant,40,U.S. Army,Hostile,hostile fire - mortar attack,Baghdad,Groton,Massachusetts,US,16344
1201,1201,9/30/2004,Specialist,38,U.S. Army Reserve,Hostile,hostile fire - IED attack,"Brooke Army Med Center, TX",Marietta,Ohio,US,16344
1202,1203,10/1/2004,Sergeant,21,U.S. Army,Hostile,hostile fire - small arms fire,Baghdad,Naperville,Illinois,US,16345
1203,1202,10/1/2004,Sergeant,27,U.S. Army National Guard,Hostile,hostile fire - sniper fire,Samarra,Rome,New York,US,16345
1204,1206,10/3/2004,Staff Sergeant,37,U.S. Army Reserve,Non-hostile,vehicle accident,"Brooke Army Med Center, TX",Baltimore,Maryland,US,16347
1205,1205,10/3/2004,Sergeant,48,U.S. Army National Guard,Hostile,hostile fire - small arms fire,Taji,Harrison,Arkansas,US,16347
1206,1204,10/3/2004,Sergeant,38,U.S. Army National Guard,Hostile,hostile fire - small arms fire,Taji,Tiverton,Rhode Island,US,16347
1207,1207,10/4/2004,Staff Sergeant,35,U.S. Army,Non-hostile,NA,Fort Polk,Drury,Missouri,US,16348
1208,1208,10/5/2004,Staff Sergeant,38,U.S. Army Reserve,Hostile,hostile fire - IED attack,Latifiya,Maynard/St. Clairsville,Ohio,US,16349
1209,1209,10/6/2004,Sergeant,21,U.S. Army National Guard,Hostile,hostile fire - IED attack,Fallujah,Normal,Illinois,US,16350
1210,1210,10/6/2004,Private,23,U.S. Army,Hostile,hostile fire - small arms fire,Ramadi,Honolulu,Hawaii,US,16350
1211,1211,10/7/2004,Specialist,20,U.S. Army,Hostile,hostile fire - IED attack,Tikrit,Santa Cruz,California,US,16351
1212,1213,10/8/2004,Sergeant,22,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Pleasant Mount,Pennsylvania,US,16352
1213,1212,10/8/2004,Staff Sergeant,35,U.S. Army National Guard,Hostile,hostile fire - IED attack,Tuz,Aberdeen,North Carolina,US,16352
1214,1214,10/9/2004,Private 1st Class,19,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Grant,Wisconsin,US,16353
1215,1215,10/10/2004,Private,22,U.S. Army,Hostile,hostile fire - car bomb,Baghdad,Winkelman,Arizona,US,16354
1216,1216,10/10/2004,Private 1st Class,22,U.S. Army,Non-hostile,vehicle accident,Habbaniyah,Whitestone,New York,US,16354
1217,1218,10/11/2004,Private 1st Class,20,U.S. Army,Hostile,hostile fire - rocket attack,Baghdad,Bismarck,North Dakota,US,16355
1218,1217,10/11/2004,Sergeant,38,U.S. Army,Hostile,hostile fire - rocket attack,Baghdad,Hollywood,Florida,US,16355
1219,1220,10/11/2004,Private 1st Class,19,U.S. Army,Hostile,hostile fire - sniper fire,Baghdad,Johnstown,Pennsylvania,US,16355
1220,1219,10/11/2004,Staff Sergeant,34,U.S. Army,Hostile,hostile fire - suicide car bomb,Mosul,Bremerton,Washington,US,16355
1221,1222,10/12/2004,Corporal,24,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Port St. Lucie,Florida,US,16356
1222,1221,10/12/2004,Private 1st Class,19,U.S. Marine,Hostile,hostile fire,Al Anbar Province,North Lauderdale,Florida,US,16356
1223,1224,10/12/2004,Lance Corporal,22,U.S. Marine Reserve,Hostile,hostile fire,Babil Province,Calendonia,Wisconsin,US,16356
1224,1223,10/12/2004,Specialist,26,U.S. Army,Hostile,hostile fire,Baghdad,Albuquerque,New Mexico,US,16356
1225,1226,10/12/2004,Specialist,30,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Houston,Texas,US,16356
1226,1225,10/12/2004,Captain,30,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Lima,Ohio,US,16356
1227,1227,10/13/2004,Specialist,28,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Round Lake Beach,Illinois,US,16357
1228,1228,10/13/2004,Specialist,22,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Littleton,New Hampshire,US,16357
1229,1230,10/13/2004,Major,36,U.S. Army Reserve,Hostile,hostile fire - suicide car bomb,Mosul,Irvine,California,US,16357
1230,1229,10/13/2004,Lieutenant Colonel,44,U.S. Army Reserve,Hostile,hostile fire - suicide car bomb,Mosul,Green Lane,Pennsylvania,US,16357
1231,1232,10/13/2004,Lance Corporal,19,U.S. Marine,Hostile,hostile fire,Ramadi,Watsonville,California,US,16357
1232,1231,10/13/2004,2nd Lieutenant,27,U.S. Marine,Hostile,hostile fire,Ramadi,West Palm Beach,Florida,US,16357
1233,1233,10/13/2004,Sergeant,34,U.S. Army National Guard,Hostile,hostile fire - car bomb,Ramadi,Cabot,Arkansas,US,16357
1234,1237,10/14/2004,Specialist,21,U.S. Army,Hostile,hostile fire,Baghdad,Irving,Texas,US,16358
1235,1238,10/14/2004,Private,19,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Auburn,California,US,16358
1236,1236,10/14/2004,Private 1st Class,22,U.S. Army,Hostile,hostile fire - RPG attack,Ramadi,Shelby Township,Michigan,US,16358
1237,1235,10/14/2004,Specialist,22,U.S. Army,Hostile,hostile fire - RPG attack,Ramadi,Chapel Hill,North Carolina,US,16358
1238,1234,10/14/2004,Staff Sergeant,31,U.S. Army,Hostile,hostile fire - RPG attack,Ramadi,Cherry Fork,Ohio,US,16358
1239,1242,10/15/2004,Sergeant,31,U.S. Army,Hostile,hostile fire - suicide car bomb,Al Qaim,Phoenix,Arizona,US,16359
1240,1241,10/15/2004,Corporal,22,U.S. Army,Hostile,hostile fire - suicide car bomb,Al Qaim,Bellingham,Washington,US,16359
1241,1240,10/15/2004,Corporal,26,U.S. Marine,Hostile,hostile fire - suicide car bomb,Al Qaim,Las Vegas,Nevada,US,16359
1242,1243,10/15/2004,Lance Corporal,22,U.S. Marine,Hostile,hostile fire,Babil Province,Rochester,New York,US,16359
1243,1239,10/15/2004,Specialist,24,U.S. Army National Guard,Hostile,hostile fire - car bomb,Mosul,Landaff,New Hampshire,US,16359
1244,1245,10/16/2004,Chief Warrant Officer,36,U.S. Army,Non-hostile,helicopter crash,Baghdad,Bethlehem,Connecticut,US,16360
1245,1244,10/16/2004,Captain,29,U.S. Army,Non-hostile,helicopter crash,Baghdad,Excelsior Springs,Missouri,US,16360
1246,1246,10/18/2004,Specialist,21,U.S. Army,Non-hostile,unspecified cause,Muqdadiyah,Mesa,Arizona,US,16362
1247,1247,10/20/2004,Sergeant,25,U.S. Marine (IRR),Hostile,hostile fire,Ramadi,Colorado Springs,Colorado,US,16364
1248,1248,10/22/2004,Lance Corporal,21,U.S. Marine,Hostile,hostile fire,"Vet  s Hospital, Tampa, FL",Charleston,South Carolina,US,16366
1249,1251,10/24/2004,Sergeant,46,U.S. Army National Guard,Non-hostile,illness - sudden collapse,Arifjan,Homosassa,Florida,US,16368
1250,1250,10/24/2004,Lance Corporal,19,U.S. Marine,Non-hostile,vehicle accident,Baghdad,Saugus,California,US,16368
1251,1249,10/24/2004,Senior Sergeant,35,Bulgarian Army,Hostile,hostile fire - car bomb,Karbala,Sofia,Bulgaria,BUL,16368
1252,1253,10/25/2004,Corporal,22,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Raynham,Massachusetts,US,16369
1253,1252,10/25/2004,1st Sergeant,28,Estonian Army,Hostile,hostile fire - IED attack,Baghdad,Martna,Estonia,EST,16369
1254,1254,10/27/2004,Staff Sergeant,42,U.S. Army National Guard,Hostile,hostile fire - car bomb,Balad,North Charleston,South Carolina,US,16371
1255,1255,10/28/2004,Sergeant 1st Class,38,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,San Antonio,Texas,US,16372
1256,1256,10/28/2004,Specialist,34,U.S. Army National Guard,Hostile,hostile fire - RPG attack,Balad,Brooklyn,New York,US,16372
1257,1257,10/28/2004,Private 1st Class,30,U.S. Army,Hostile,hostile fire - small arms fire,Ramadi,Burkesville,Kentucky,US,16372
1258,1258,10/29/2004,Private,27,British Army,Non-hostile,vehicle accident,Babil Province,Lochgelly in Fife,Scotland,UK,16373
1259,1259,10/29/2004,Sergeant,25,U.S. Army,Hostile,hostile fire - suicide car bomb,Ramadi,Forestville,Maryland,US,16373
1260,1267,10/30/2004,Private 1st Class,19,U.S. Marine,Hostile,hostile fire - car bomb,Fallujah,Las Vegas,Nevada,US,16374
1261,1266,10/30/2004,Sergeant,28,U.S. Marine,Hostile,hostile fire - car bomb,Fallujah,Macon,Georgia,US,16374
1262,1265,10/30/2004,Private 1st Class,19,U.S. Marine,Hostile,hostile fire - car bomb,Fallujah,Northglenn,Colorado,US,16374
1263,1264,10/30/2004,Lance Corporal,23,U.S. Marine,Hostile,hostile fire - car bomb,Fallujah,Fairview,West Virginia,US,16374
1264,1263,10/30/2004,Corporal,22,U.S. Marine,Hostile,hostile fire - car bomb,Fallujah,Peoria,Arizona,US,16374
1265,1262,10/30/2004,Lance Corporal,25,U.S. Marine,Hostile,hostile fire - car bomb,Fallujah,Cowpens,South Carolina,US,16374
1266,1261,10/30/2004,Lance Corporal,28,U.S. Marine,Hostile,hostile fire - car bomb,Fallujah,Washington,Georgia,US,16374
1267,1260,10/30/2004,Lance Corporal,20,U.S. Marine,Hostile,hostile fire - car bomb,Fallujah,Lemoore,California,US,16374
1268,1268,10/31/2004,Staff Sergeant,34,British Army,Non-hostile,weapon discharge (suicide),Basra,Liverpool,England,UK,16375
1269,1269,10/31/2004,1st Lieutenant,25,U.S. Marine,Hostile,hostile fire - IED attack,Ramadi,Jericho,New York,US,16375
1270,1270,11/3/2004,Sergeant,22,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Hamilton,Ohio,US,16378
1271,1274,11/4/2004,Specialist,21,U.S. Army National Guard,Hostile,hostile fire - IED attack,Balad,Williston,North Dakota,US,16379
1272,1276,11/4/2004,Lance Corporal,22,U.S. Marine,Hostile,hostile fire,Fallujah,Clovis,California,US,16379
1273,1275,11/4/2004,Corporal,21,U.S. Marine,Hostile,hostile fire,Fallujah,Fresno,California,US,16379
1274,1273,11/4/2004,Private,22,British Army,Hostile,hostile fire - suicide car bomb,Fallujah,Fife Region,Scotland,UK,16379
1275,1272,11/4/2004,Private,19,British Army,Hostile,hostile fire - suicide car bomb,Fallujah,Fife Region,Scotland,UK,16379
1276,1271,11/4/2004,Sergeant,31,British Army,Hostile,hostile fire - suicide car bomb,Fallujah,Fife Region,Scotland,UK,16379
1277,1277,11/5/2004,Sergeant,24,U.S. Army,Hostile,hostile fire - rocket attack,Baghdad,Carolina,Puerto Rico,US,16380
1278,1278,11/6/2004,Private,20,U.S. Army,Hostile,hostile fire - car bomb,Baghdad,Eufaula,Alabama,US,16381
1279,1280,11/7/2004,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Lexington,Kentucky,US,16382
1280,1279,11/7/2004,Specialist,27,U.S. Army,Hostile,hostile fire - car bomb,Baghdad,West Seneca,New York,US,16382
1281,1281,11/7/2004,Sergeant,26,U.S. Army National Guard,Hostile,hostile fire - IED attack,Baghdad,Mission Viejo,California,US,16382
1282,1282,11/7/2004,Sergeant 1st Class,53,U.S. Army Reserve,Non-hostile,illness,"Beaver, WV",Oak Hill,West Virginia,US,16382
1283,1293,11/8/2004,Corporal,23,U.S. Marine Reserve,Hostile,hostile fire,Babil Province,Waukesha,Wisconsin,US,16383
1284,1289,11/8/2004,Lance Corporal,22,U.S. Marine Reserve,Hostile,hostile fire,Babil Province,Boone,Illinois,US,16383
1285,1288,11/8/2004,Lance Corporal,24,U.S. Marine Reserve,Hostile,hostile fire,Babil Province,DeForest,Wisconsin,US,16383
1286,1287,11/8/2004,Corporal,24,U.S. Marine Reserve,Hostile,hostile fire,Babil Province,Tulsa,Oklahoma,US,16383
1287,1292,11/8/2004,Sergeant,21,U.S. Army National Guard,Hostile,hostile fire - car bomb,Baghdad,Troy,Kansas,US,16383
1288,1291,11/8/2004,Staff Sergeant,39,U.S. Army National Guard,Hostile,hostile fire - car bomb,Baghdad,Atchison,Kansas,US,16383
1289,1285,11/8/2004,Sergeant,31,U.S. Army Reserve,Hostile,hostile fire - small arms fire,Baghdad,Lumberton,New Jersey,US,16383
1290,1294,11/8/2004,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Fallujah,Houston,Texas,US,16383
1291,1290,11/8/2004,Staff Sergeant,29,U.S. Marine Reserve,Hostile,hostile fire,Fallujah,Clark,Washington,US,16383
1292,1284,11/8/2004,Corporal,24,U.S. Marine Reserve,Non-hostile,vehicle accident (drowning),Fallujah,Blandinsville,Illinois,US,16383
1293,1283,11/8/2004,Lance Corporal,22,U.S. Marine Reserve,Non-hostile,vehicle accident (drowning),Fallujah,Queens,New York,US,16383
1294,1286,11/8/2004,Private,27,British Army,Hostile,hostile fire - IED attack,Iskandariyah,Manoca,Fiji,UK,16383
1295,1297,11/9/2004,Specialist,24,U.S. Army,Hostile,"hostile fire - small arms fire, rpg",Baghdad,Uvalde,Texas,US,16384
1296,1308,11/9/2004,Lance Corporal,19,U.S. Marine,Hostile,hostile fire,Fallujah,Chino,California,US,16384
1297,1307,11/9/2004,Sergeant,25,U.S. Marine,Hostile,hostile fire,Fallujah,Naperville,Illinois,US,16384
1298,1304,11/9/2004,Staff Sergeant,28,U.S. Marine,Hostile,hostile fire,Fallujah,Humble,Texas,US,16384
1299,1303,11/9/2004,Lance Corporal,19,U.S. Marine,Hostile,hostile fire,Fallujah,Kirkland,Washington,US,16384
1300,1302,11/9/2004,Lance Corporal,19,U.S. Marine,Hostile,hostile fire,Fallujah,Wheaton,Illinois,US,16384
1301,1301,11/9/2004,Corporal,24,U.S. Marine,Hostile,hostile fire,Fallujah,Huntington Beach,California,US,16384
1302,1300,11/9/2004,Lance Corporal,26,U.S. Marine,Hostile,hostile fire,Fallujah,Homestead,Florida,US,16384
1303,1299,11/9/2004,Sergeant,29,U.S. Marine,Hostile,hostile fire,Fallujah,Vandergrift,Pennsylvania,US,16384
1304,1305,11/9/2004,Staff Sergeant,38,U.S. Army Reserve,Hostile,hostile fire - RPG attack,Fallujah,West Bend,Wisconsin,US,16384
1305,1298,11/9/2004,Command Sergeant Major,45,U.S. Army,Hostile,hostile fire - small arms fire,Fallujah,Huntingburg,Indiana,US,16384
1306,1296,11/9/2004,Master Sergeant,37,U.S. Air Force,Hostile,hostile fire - mortar attack,Mosul,Waterloo,New York,US,16384
1307,1295,11/9/2004,Major,38,U.S. Army,Hostile,hostile fire - mortar attack,Mosul,Los Fresnos/San Antonio,Texas,US,16384
1308,1306,11/9/2004,Sergeant,25,U.S. Army,Hostile,hostile fire - small arms fire,Ramadi,Marble Falls,Texas,US,16384
1309,1315,11/10/2004,Staff Sergeant,45,U.S. Army National Guard,Hostile,hostile fire - IED attack,Balad,Sebastopol,California,US,16385
1310,1317,11/10/2004,Lance Corporal,21,U.S. Marine,Hostile,hostile fire,Fallujah,Friendswood,Texas,US,16385
1311,1314,11/10/2004,Corporal,21,U.S. Marine,Hostile,hostile fire,Fallujah,Miami,Florida,US,16385
1312,1313,11/10/2004,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Fallujah,Marion,Illinois,US,16385
1313,1312,11/10/2004,Staff Sergeant,28,U.S. Marine,Hostile,hostile fire,Fallujah,San Antonio,Texas,US,16385
1314,1311,11/10/2004,Lance Corporal,21,U.S. Marine,Hostile,hostile fire,Fallujah,Bay Point,California,US,16385
1315,1310,11/10/2004,1st Lieutenant,25,U.S. Marine,Hostile,hostile fire,Fallujah,Brinson,Georgia,US,16385
1316,1309,11/10/2004,Petty Officer 3rd Class,22,U.S. Navy,Hostile,hostile fire,Fallujah,Jacksonville,Florida,US,16385
1317,1316,11/10/2004,Private 1st Class,21,U.S. Army,Hostile,hostile fire - RPG attack,Ramadi,La Salle,Michigan,US,16385
1318,1319,11/11/2004,Corporal,22,U.S. Marine Reserve,Hostile,hostile fire,Babil Province,Inverness,Illinois,US,16386
1319,1325,11/11/2004,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Fallujah,Laramie,Wyoming,US,16386
1320,1323,11/11/2004,Staff Sergeant,27,U.S. Marine,Hostile,hostile fire,Fallujah,Littleton,Colorado,US,16386
1321,1322,11/11/2004,Corporal,25,U.S. Marine,Hostile,hostile fire,Fallujah,Casselberry,Florida,US,16386
1322,1318,11/11/2004,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Fallujah,Hemlock,Michigan,US,16386
1323,1324,11/11/2004,2nd Lieutenant,24,U.S. Marine,Hostile,hostile fire - sniper fire,Fallujah,San Marino,California,US,16386
1324,1320,11/11/2004,Staff Sergeant,28,U.S. Army,Hostile,hostile fire - car bomb,Habbaniyah,Fredericktown,Pennsylvania,US,16386
1325,1321,11/11/2004,Specialist,20,U.S. Army,Hostile,hostile fire - small arms fire,Mosul,Silver Spring,Maryland,US,16386
1326,1330,11/12/2004,Corporal,24,U.S. Marine Reserve,Hostile,hostile fire,Babil Province,Sheboygan,Wisconsin,US,16387
1327,1326,11/12/2004,Specialist,22,U.S. Army,Hostile,hostile fire - small arms fire,Baghdad,Elwood,Indiana,US,16387
1328,1336,11/12/2004,Lance Corporal,19,U.S. Marine,Hostile,vehicle accident,Baghdad,Las Vegas,Nevada,US,16387
1329,1327,11/12/2004,Corporal,21,U.S. Marine,Non-hostile,weapon discharge,Baghdad,Imogene,Iowa,US,16387
1330,1334,11/12/2004,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Fallujah,Woodbridge,Virginia,US,16387
1331,1333,11/12/2004,Lance Corporal,21,U.S. Marine,Hostile,hostile fire,Fallujah,Cockeysville,Maryland,US,16387
1332,1329,11/12/2004,Corporal,22,U.S. Marine,Hostile,hostile fire,Fallujah,Howard,Ohio,US,16387
1333,1328,11/12/2004,Sergeant,23,U.S. Marine,Hostile,hostile fire,Fallujah,Crossville,Tennessee,US,16387
1334,1335,11/12/2004,Sergeant,23,U.S. Army,Hostile,hostile fire - RPG attack,Fallujah,Jamestown/Celoron,New York,US,16387
1335,1331,11/12/2004,1st Lieutenant,28,U.S. Army,Hostile,hostile fire - RPG attack,Fallujah,Albion,Nebraska,US,16387
1336,1332,11/12/2004,Sergeant,25,U.S. Army,Non-hostile,vehicle accident,Fallujah,Atlanta,Georgia,US,16387
1337,1338,11/13/2004,Corporal,23,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Monroe,Connecticut,US,16388
1338,1337,11/13/2004,Sergeant,36,U.S. Army Reserve,Hostile,hostile fire - mortar attack,Baghdad,White Lake,New York,US,16388
1339,1346,11/13/2004,Private 1st Class,19,U.S. Army,Non-hostile,vehicle accident,Baghdad,Canyon Country,California,US,16388
1340,1344,11/13/2004,Lance Corporal,22,U.S. Marine,Hostile,hostile fire,Fallujah,Los Angeles,California,US,16388
1341,1343,11/13/2004,Lance Corporal,19,U.S. Marine,Hostile,hostile fire,Fallujah,Covington,Louisiana,US,16388
1342,1342,11/13/2004,Lance Corporal,23,U.S. Marine,Hostile,hostile fire,Fallujah,Lumberton,North Carolina,US,16388
1343,1341,11/13/2004,Corporal,23,U.S. Army,Hostile,hostile fire,Fallujah,Lubbock,Texas,US,16388
1344,1340,11/13/2004,Sergeant,25,U.S. Marine,Hostile,hostile fire,Fallujah,Pflugerville,Texas,US,16388
1345,1339,11/13/2004,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Fallujah,Mount Pleasant,Michigan,US,16388
1346,1345,11/13/2004,Captain,32,U.S. Army,Hostile,hostile fire - small arms fire,Fallujah,El Paso,Texas,US,16388
1347,1350,11/14/2004,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Fallujah,Culver City,California,US,16389
1348,1349,11/14/2004,Corporal,21,U.S. Marine,Hostile,hostile fire,Fallujah,Port Deposit,Maryland,US,16389
1349,1348,11/14/2004,Corporal,21,U.S. Marine,Hostile,hostile fire,Fallujah,Santa Cruz,California,US,16389
1350,1347,11/14/2004,Corporal,22,U.S. Marine,Hostile,hostile fire,Fallujah,Towson,Maryland,US,16389
1351,1351,11/15/2004,Private 1st Class,20,U.S. Army,Non-hostile,vehicle accident,Baghdad,Suamico (Green Bay),Wisconsin,US,16390
1352,1362,11/15/2004,Lance Corporal,22,U.S. Marine,Hostile,hostile fire,Fallujah,Pearland,Texas,US,16390
1353,1360,11/15/2004,Lance Corporal,22,U.S. Marine,Hostile,hostile fire,Fallujah,Orlando,Florida,US,16390
